                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.67391,                0.33266,                0.90757,                0.91915,                0.90758,                0.95703,                0.73866,                0.92706,                0.48723,                 1.0515,               0.005446,               0.005446,               0.005446
                     48,                0.66387,                0.32944,                0.91604,                0.94061,                0.88753,                0.95838,                 0.7479,                0.91794,                 0.4806,                 1.0428,               0.005347,               0.005347,               0.005347
                     49,                0.64976,                0.32301,                0.91153,                0.90881,                0.91182,                0.95694,                0.74304,                0.91901,                0.48788,                 1.0462,               0.005248,               0.005248,               0.005248
                     50,                0.65552,                0.32446,                0.90698,                0.93798,                0.87413,                0.94625,                0.72575,                0.93955,                0.51603,                 1.0543,               0.005149,               0.005149,               0.005149
                     51,                0.64799,                0.32182,                0.90567,                0.90291,                0.91049,                0.95574,                0.73857,                0.93622,                0.51292,                  1.055,                0.00505,                0.00505,                0.00505
                     52,                0.63637,                0.31329,                0.90526,                0.93887,                0.89498,                0.95392,                0.74533,                0.90754,                 0.4885,                  1.044,               0.004951,               0.004951,               0.004951
                     53,                0.63988,                0.31405,                0.90385,                0.92033,                0.90326,                0.95201,                0.73594,                0.94909,                0.51052,                 1.0641,               0.004852,               0.004852,               0.004852
                     54,                0.63034,                0.30838,                0.90512,                0.92515,                0.89394,                0.94006,                0.71797,                0.93957,                0.52489,                 1.0592,               0.004753,               0.004753,               0.004753
                     55,                0.62292,                0.30654,                0.89873,                0.92682,                0.90039,                0.94284,                0.72441,                0.92129,                0.51601,                 1.0562,               0.004654,               0.004654,               0.004654
                     56,                0.61792,                0.30344,                0.89612,                0.91838,                0.91147,                0.94511,                0.72116,                0.93725,                0.50896,                 1.0587,               0.004555,               0.004555,               0.004555
                     57,                0.61869,                 0.3048,                0.89853,                0.91988,                0.89918,                0.94404,                0.72665,                0.92474,                0.51622,                 1.0595,               0.004456,               0.004456,               0.004456
                     58,                0.61102,                0.29974,                0.89945,                0.91531,                 0.8986,                0.94553,                0.73048,                0.92196,                0.53525,                 1.0539,               0.004357,               0.004357,               0.004357
                     59,                0.61365,                0.29858,                0.90076,                0.93402,                0.89101,                0.95758,                0.74446,                0.92463,                0.50168,                 1.0662,               0.004258,               0.004258,               0.004258
                     60,                    0.6,                0.29439,                0.89518,                0.91891,                0.90475,                0.94222,                0.72633,                0.92467,                0.52082,                 1.0641,               0.004159,               0.004159,               0.004159
                     61,                 0.5985,                0.29799,                0.89534,                0.93923,                0.87646,                0.94242,                0.72916,                0.92739,                0.53782,                 1.0668,                0.00406,                0.00406,                0.00406
                     62,                0.58945,                 0.2911,                0.89088,                0.92069,                0.90501,                0.95182,                0.73886,                0.93441,                0.51422,                 1.0741,               0.003961,               0.003961,               0.003961
                     63,                0.58771,                0.28862,                0.88939,                0.93742,                0.89919,                0.95329,                0.73873,                0.93424,                 0.4937,                 1.0554,               0.003862,               0.003862,               0.003862
                     64,                0.57937,                 0.2825,                0.87994,                0.92761,                0.89802,                0.95331,                0.74096,                0.92962,                0.49238,                 1.0514,               0.003763,               0.003763,               0.003763
